Bt20_ID,BH_ID,Date,Way_Point
4895468,664,"CRTD 11:08 23-SEP-06","S26 14.594 E27 51.328"
5058095,665,"CRTD 10:49 05-DEC-06","S26 14.440 E27 54.605"
6668852,,"CRTD 07:04 04-OCT-06","S26 14.141 E27 55.500"
6750836,,"CRTD 12:53 26-OCT-06","S26 14.610 E27 50.390"
5832500,681,"CRTD 09:37 01-DEC-06","S26 13.402 E27 49.622"
6866327,,"CRTD 11:06 04-DEC-06","S26 16.668 E27 50.164"
7909053,697,"CRTD 11:20 25-OCT-06","S26 12.597 E27 51.853"
8287878,698,"CRTD 10:54 31-OCT-06","S26 15.038 E27 52.556"
8304270,699,"CRTD 14:24 31-OCT-06","S26 15.275 E27 49.372"
9492399,706,"CRTD 11:56 16-SEP-06","S26 14.697 E27 49.216"
1558730,710,"CRTD 12:24 06-DEC-06","S26 13.989 E27 54.561"
1857856,711,"CRTD 07:24 07-DEC-06","S26 17.761 E27 55.626"
1950027,712,"CRTD 07:25 07-DEC-06","S26 17.761 E27 55.626"
4145727,736,"CRTD 12:50 19-SEP-06","S26 15.059 E27 51.172"
4249426,738,"CRTD 09:41 17-SEP-06","S26 15.045 E27 52.669"
4530616,741,"CRTD 07:29 17-NOV-06","S26 16.680 E27 50.934"
5675257,750,"CRTD 09:19 11-DEC-06","S26 16.224 E27 48.214"
6302976,754,"CRTD 10:41 17-SEP-06","S26 15.100 E27 52.920"
755773,,"CRTD 11:43 08-DEC-06","S26 15.259 E28 02.280"
6518070,756,"CRTD 14:34 02-NOV-06","S26 14.737 E27 52.010"
7574636,,"CRTD 12:13 20-NOV-06","S26 14.503 E27 48.304"
7650212,,"CRTD 14:24 15-NOV-06","S26 15.415 E27 54.306"
767,767,"CRTD 10:35 25-SEP-06","S26 09.629 E28 02.029"
774,774,"CRTD 07:25 26-NOV-06","S26 07.776 E28 01.114"
778,778,"CRTD 09:55 30-NOV-06","S26 07.847 E28 06.526"
7804330,,"CRTD 11:47 07-NOV-06","S26 14.661 E27 49.255"
781,781,"CRTD 06:49 09-DEC-06","S26 10.358 E28 04.820"
7919557,,"CRTD 13:43 13-OCT-06","S26 14.214 E27 51.877"
7930061,,"CRTD 15:02 08-NOV-06","S26 13.983 E27 48.782"
8024544,,"CRTD 07:55 02-DEC-06","S26 04.437 E28 05.481"
8292478,,"CRTD 13:19 21-SEP-06","S26 17.039 E27 54.984"
835,835,"CRTD 09:41 02-DEC-06","S26 08.707 E28 01.196"
8373385,,"CRTD 13:52 19-SEP-06","S26 15.011 E27 50.045"
8381577,,"CRTD 10:16 12-NOV-06","S26 12.118 E28 06.512"
8380553,,"CRTD 11:20 04-DEC-06","S26 16.098 E27 50.172"
8410017,,"CRTD 12:42 11-OCT-06","S26 15.474 E27 49.537"
842,842,"CRTD 05:57 02-DEC-06","S26 08.734 E28 05.033"
8424881,,"CRTD 13:54 20-OCT-06","S26 13.977 E27 51.893"
8492972,,"CRTD 06:19 15-OCT-06","S26 13.447 E27 48.390"
853,853,"CRTD 08:03 18-NOV-06","S26 11.418 E28 05.143"
8563111,,"CRTD 12:31 15-NOV-06","S26 16.711 E27 50.355"
860,860,"CRTD 13:07 06-OCT-06","S26 11.691 E28 05.234"
872,872,"CRTD 06:02 18-NOV-06","S26 09.634 E28 05.215"
8820288,,"CRTD 12:51 17-OCT-06","S26 15.434 E27 51.289"
8912339,,"CRTD 12:49 01-NOV-06","S26 14.826 E27 49.725"
8924411,,"CRTD 06:36 22-NOV-06","S26 14.802 E27 49.691"
8926459,,"CRTD 13:34 06-NOV-06","S26 14.453 E27 49.308"
8927483,,"CRTD 07:17 07-OCT-06","S26 14.828 E27 49.930"
8930339,,"CRTD 07:44 14-OCT-06","S26 14.929 E27 49.049"
9034195,,"CRTD 13:45 01-NOV-06","S26 15.635 E27 50.063"
9051171,,"CRTD 08:31 11-NOV-06","S26 11.687 E27 48.055"
9071219,,"CRTD 14:58 31-OCT-06","S26 15.506 E27 52.003"
9086363,,"CRTD 13:38 19-OCT-06","S26 14.907 E27 53.195"
9132174,,"CRTD 11:11 07-DEC-06","S26 14.587 E27 48.991"
9137294,,"CRTD 10:18 26-NOV-06","S26 14.278 E27 55.859"
9247345,,"CRTD 13:14 06-DEC-06","S26 17.760 E27 55.623"
9298489,,"CRTD 08:55 28-OCT-06","S26 14.521 E27 49.961"
9307276,,"CRTD 14:27 17-OCT-06","S26 15.412 E27 49.600"
9343276,,"CRTD 14:35 01-NOV-06","S26 14.215 E27 50.067"
9357396,,"CRTD 08:20 08-DEC-06","S26 16.058 E27 52.189"
9362300,,"CRTD 13:16 07-NOV-06","S26 15.789 E27 49.519"
9363324,,"CRTD 11:39 24-OCT-06","S26 13.998 E27 52.626"
9368444,,"CRTD 10:57 21-OCT-06","S26 14.084 E27 49.771"
9373348,,"CRTD 08:56 21-OCT-06","S26 13.915 E27 50.586"
9381324,,"CRTD 09:25 11-NOV-06","S26 11.817 E27 48.380"
9411183,,"CRTD 11:18 03-NOV-06","S26 13.953 E27 52.660"
9470303,,"CRTD 13:46 21-NOV-06","S26 16.704 E27 52.695"
9558474,,"CRTD 09:04 09-DEC-06","S26 07.787 E28 05.810"
9827459,,"CRTD 11:07 18-NOV-06","S26 11.670 E28 04.328"
1032123,,"9/22/2006 7:39","S26 13.361 E27 55.336"
1037075,,"10/21/2006 1:09","S26 21.921 E27 54.132"
1042019,,"10/7/2006 3:01","S26 12.811 E27 53.743"
1065515,,"9/23/2006 5:42","S26 16.360 E27 49.665"
1161342,,"9/29/2006 4:03","S26 14.165 E27 55.321"
1219297,,"11/16/2006 6:51","S26 17.348 E27 54.754"
1243225,,"10/25/2006 7:42","S26 16.566 E27 49.910"
1253249,,"11/17/2006 3:55","S26 17.348 E27 54.758"
1366956,,"9/20/2006 6:33","S26 12.884 E27 53.419"
1443503,,"9/17/2006 3:55","S26 16.228 E27 51.661"
1452983,,"10/12/2006 8:11","S26 15.552 E27 56.878"
1458103,,"11/2/2006 7:39","S26 14.576 E27 57.462"
1462463,,"10/24/2006 9:26","S26 13.236 E27 55.109"
1467583,,"9/27/2006 5:15","S26 15.521 E27 56.351"
1532258,,"10/27/2006 4:54","S26 14.017 E27 56.307"
1585122,,"10/10/2006 8:25","S26 16.348 E27 49.903"
1596650,,"10/4/2006 5:44","S26 15.265 E27 51.810"
1636618,,"10/20/2006 6:02","S26 24.782 E27 52.609"
1685749,,"10/18/2006 9:33","S26 14.952 E27 50.576"
1776896,,"10/12/2006 9:32","S26 14.965 E27 55.625"
1821984,,"10/12/2006 7:40","S26 15.018 E27 57.133"
1849400,,"10/10/2006 9:34","S26 14.639 E27 56.241"
1859904,,"11/2/2006 4:48","S26 14.630 E27 57.586"
1865288,,"10/24/2006 10:00","S26 13.236 E27 55.109"
1870407,,"10/18/2006 8:24","S26 14.679 E27 57.485"
2015046,,"11/2/2006 6:38","S26 14.953 E27 56.085"
2308348,,"9/16/2006 7:00","S26 14.809 E27 55.678"
2401543,,"11/8/2006 7:07","S26 16.603 E27 49.880"
2428354,,"11/16/2006 4:20","S26 17.502 E27 55.775"
2451962,,"10/27/2006 7:13","S26 14.756 E27 57.688"
2563073,,"9/16/2006 3:25","S26 12.873 E27 53.848"
2781259,,"11/11/2006 2:58","S26 15.269 E28 01.757"
2834803,,"9/23/2006 2:22","S26 12.680 E27 53.763"
2848379,,"12/8/2006 5:44","S26 14.094 E27 56.961"
2864003,,"9/30/2006 4:28","S26 13.236 E27 54.378"
2866315,,"9/29/2006 6:04","S26 16.112 E27 51.920"
2883934,,"11/23/2006 5:08","S26 15.793 E27 56.436"
2922878,,"9/30/2006 3:39","S26 12.529 E27 53.239"
2936454,,"10/20/2006 4:46","S26 16.416 E27 53.943"
2940550,,"11/27/2006 3:50","S26 08.891 E28 00.805"
2955414,,"9/29/2006 4:57","S26 16.088 E27 51.918"
3012810,,"10/20/2006 3:52","S26 15.379 E27 59.527"
3032985,,"10/7/2006 5:43","S26 15.932 E27 54.859"
3040153,,"9/27/2006 4:01","S26 14.613 E27 56.666"
3081225,,"11/18/2006 1:37","S26 17.515 E27 56.963"
3126228,,"11/9/2006 4:38","S26 15.807 E27 59.900"
3232183,,"10/27/2006 6:42","S26 14.651 E27 56.549"
3326282,,"11/9/2006 7:10","S26 17.719 E27 55.262"
3330162,,"9/29/2006 3:13","S26 12.835 E27 54.593"
3427333,,"11/15/2006 6:20","S26 22.060 E27 53.573"
3430189,,"9/30/2006 4:36","S26 13.750 E27 54.042"
3445333,,"12/9/2006 2:15","S26 07.222 E28 04.158"
3471969,,"10/22/2006 5:53","S26 13.298 E27 55.197"
3473997,,"9/16/2006 4:45","S26 12.979 E27 54.317"
3483477,,"9/28/2006 3:46","S26 16.379 E27 53.992"
3493981,,"9/20/2006 8:44","S26 12.739 E27 53.649"
3536360,,"9/30/2006 2:04","S26 12.916 E27 53.978"
3568480,,"12/2/2006 1:01","S25 59.594 E27 59.930"
3644363,,"11/22/2006 6:17","S26 13.770 E27 56.103"
3658483,,"9/21/2006 6:55","S26 16.341 E27 52.300"
3679347,,"11/15/2006 4:50","S26 22.121 E27 53.525"
3685387,,"11/21/2006 7:00","S26 17.377 E27 56.532"
3761331,,"10/25/2006 7:51","S26 15.970 E27 49.600"
3765462,,"10/27/2006 3:18","S26 16.741 E27 51.783"
3837465,,"11/8/2006 4:52","S26 15.277 E27 57.084"
3858886,,"10/30/2006 5:11","S26 13.023 E27 55.195"
3863441,,"11/7/2006 7:41","S26 14.858 E27 56.095"
3864465,,"10/24/2006 10:39","S26 13.236 E27 55.109"
3872462,,"11/7/2006 6:56","S26 13.892 E27 54.357"
